Patrick,Leahy,D,VT,@SenatorLeahy,0
Orrin,Hatch,R,UT,@OrrinHatch,2
Thad,Cochran,R,MS,@SenThadCochran,0
Chuck,Grassley,R,IA,@ChuckGrassley,2
Mitch,McConnell,R,KY,@McConnellPress,3
Barabara,Mikulski,D,MD,@SenatorBarb,1
Richard,Shelby,R,AL,@SenShelby,3
John,McCain,R,AZ,@SenJohnMcCain,0
Harry,Reid,D,NV,@SenatorReid,2
Dianne,Feinstein,D,CA,@SenFeinstein,0
Barbara,Boxer,D,CA,@SenatorBoxer,0
Patty,Murray,D,WA,@PattyMurray,0
Jim,Inhofe,R,OK,@jiminhofe,0
Ron,Wyden,D,OR,@RonWyden,0
Pat,Roberts,R,KS,@SenPatRoberts,0
Dick,Durbin,D,IL,@SenatorDurbin,0
Jack,Reed,D,RI,@SenJackReed,1
Jeff,Sessions,R,AL,@SenatorSessions,2
Susan,Collins,R,ME,@SenatorCollins,3
Mike,Enzi,R,WY,@SenatorEnzi,2
Chuck,Schumer,D,NY,@SenSchumer,0
Mike,Crapo,R,ID,@MikeCrapo,3
Bill,Nelson,D,FL,@SenBillNelson,3
Tom,Carper,D,DE,@SenatorCarper,1
Debbie,Stabenow,D,MI,@stabenow,3
Maria,Cantwell,D,WA,@SenatorCantwell,0
John,Cornyn,R,TX,@JohnCornyn,2
Lisa,Murkowski,R,AK,@lisamurkowski,0
Lindsey,Graham,R,SC,@LindseyGrahamSC,3
Lamar,Alexander,R,TN,@SenAlexander,2
Richard,Burr,R,NC,@SenatorBurr,3
John,Thune,R,SD,@SenJohnThune,3
Johnny,Isakson,R,GA,@SenatorIsakson,1
David,Vitter,R,LA,@DavidVitter,3
Bob,Menendez,D,NJ,@SenatorMenendez,1
Ben,Cardin,D,MD,@SenatorCardin,0
Bernie,Sanders,I,VT,@SenSanders,2
Sherrod,Brown,D,OH,@SenSherrodBrown,3
Bob,Casey,D,PA,@SenBobCasey,0
Bob,Corker,R,TN,@SenBobCorker,3
Claire,McCaskill,D,MO,@clairecmc,3
Amy,Klobuchar,D,MN,@amyklobuchar,1
Sheldon,Whitehouse,D,RI,@SenWhitehouse,1
Jon,Tester,D,MT,@SenatorTester,0
John,Barrasso,R,WY,@SenJohnBarrasso,2
Roger,Wicker,R,MS,@SenatorWicker,3
Tom,Udall,D,NM,@SenatorTomUdall,1
Jeanne,Shaheen,D,NH,@SenatorShaheen,1
Mark,Warner,D,VA,@MarkWarner,1
Jim,Risch,D,ID,@SenatorRisch,1
Jeff,Merkley,D,OR,@SenJeffMerkley,0
Michael,Bennet,D,CO,@SenBennetCO,1
Kristen,Gillibrand,D,NY,@SenGillibrand,1
Al,Franken,D,MN,@alfranken,3
Joe,Manchin,D,WV,@Sen_JoeManchin,1
Chris,Coons,D,DE,@ChrisCoons,1
Mark,Kirk,R,IL,@SenatorKirk,0
Dan,Coats,R,IN,@SenDanCoats,3
Roy,Blunt,R,MO,@RoyBlunt,1
Jerry,Moran,R,KS,@JerryMoran,3
Rob,Portman,R,OH,@robportman,2
John,Boozman,R,AR,@JohnBoozman,1
Pat,Toomey,R,PA,@SenToomey,3
John,Hoeven,R,ND,@SenJohnHoeven,1
Marco,Rubio,R,FL,@marcorubio,3
Ron,Johnson,R,WI,@SenRonJohnson,3
Rand,Paul,R,KY,@RandPaul,3
Richard,Blumenthal,D,CT,@SenBlumenthal,0
Mike,Lee,R,UT,@SenMikeLee,2
Kelly,Ayotte,R,NH,@KellyAyotte,1
Dean,Heller,R,NV,@SenDeanHeller,1
Brian,Schatz,D,HI,@brianschatz,0
Tim,Scott,R,SC,@SenatorTimScott,1
Tammy,Baldwin,D,WI,@SenatorBaldwin,1
Jeff,Flake,R,AZ,@JeffFlake,3
Joe,Donnelly,D,IN,@SenDonnelly,3
Chris,Murphy,D,CT,@ChrisMurphyCT,0
Mazie,Hirono,D,HI,@maziehirono,1
Martin,Heinrich,D,NM,@MartinHeinrich,0
Angus,King,I,ME,@SenAngusKing,1
Tim,Kaine,D,VA,@timkaine,1
Ted,Cruz,R,TX,@tedcruz,3
Elizabeth,Warren,D,MA,@SenWarren,0
Deb,Fischer,R,NE,@SenatorFischer,1
Heidi,Heitkamp,D,ND,@SenatorHeitkamp,1
Ed,Markey,D,MA,@SenMarkey,0
Cory,Booker,D,NJ,@CoryBooker,1
Shelley,Moore Capito,R,WV,@SenCapito,1
Gary,Peters,D,MI,@SenGaryPeters,1
Bill,Cassidy,R,LA,@BillCassidy,3
Cory,Gardner,R,CO,@CoryGardner,3
James,Lankford,R,OK,@SenatorLankford,3
Tom,Cotton,R,AR,@SenTomCotton,3
Steve,Daines,R,MT,@SteveDaines,3
Mike,Rounds,R,SD,@SenatorRounds,1
David,Perdue,R,GA,@sendavidperdue,1
Thom,Tillis,R,NC,@ThomTillis,3
Joni,Ernst,R,IA,@SenJoniErnst,1
Ben,Sasse,R,NE,@BenSasse,4
Dan,Sullivan,R,AK,@SenDanSullivan,0
Bernie,Sanders,D,VT,@BernieSanders,2
Gary,Johnson,I,NM,@GovGaryJohnson,2
Donald,Trump,R,NY,@realDonaldTrump,2
Hillary,Clinton,D,NY,@HillaryClinton,2
Jill,Stein,I,MD,@DrJillStein,2
Barack,Obama,D,IL,@BarackObama,2
Evan,McMullin,I,UT,@Evan_McMullin,2
