Patrick,Leahy,D,VT,@SenatorLeahy,6
Orrin,Hatch,R,UT,@OrrinHatch,3
Thad,Cochran,R,MS,@SenThadCochran,7
Chuck,Grassley,R,IA,@ChuckGrassley,3
Mitch,McConnell,R,KY,@McConnellPress,3
Barabara,Mikulski,D,MD,@SenatorBarb,2
Richard,Shelby,R,AL,@SenShelby,6
John,McCain,R,AZ,@SenJohnMcCain,6
Harry,Reid,D,NV,@SenatorReid,3
Dianne,Feinstein,D,CA,@SenFeinstein,7
Barbara,Boxer,D,CA,@SenatorBoxer,7
Patty,Murray,D,WA,@PattyMurray,7
Jim,Inhofe,R,OK,@jiminhofe,0
Ron,Wyden,D,OR,@RonWyden,0
Pat,Roberts,R,KS,@SenPatRoberts,7
Dick,Durbin,D,IL,@SenatorDurbin,0
Jack,Reed,D,RI,@SenJackReed,4
Jeff,Sessions,R,AL,@SenatorSessions,3
Susan,Collins,R,ME,@SenatorCollins,6
Mike,Enzi,R,WY,@SenatorEnzi,3
Chuck,Schumer,D,NY,@SenSchumer,7
Mike,Crapo,R,ID,@MikeCrapo,7
Bill,Nelson,D,FL,@SenBillNelson,3
Tom,Carper,D,DE,@SenatorCarper,2
Debbie,Stabenow,D,MI,@stabenow,7
Maria,Cantwell,D,WA,@SenatorCantwell,0
John,Cornyn,R,TX,@JohnCornyn,3
Lisa,Murkowski,R,AK,@lisamurkowski,0
Lindsey,Graham,R,SC,@LindseyGrahamSC,1
Lamar,Alexander,R,TN,@SenAlexander,3
Richard,Burr,R,NC,@SenatorBurr,7
John,Thune,R,SD,@SenJohnThune,7
Johnny,Isakson,R,GA,@SenatorIsakson,2
David,Vitter,R,LA,@DavidVitter,7
Bob,Menendez,D,NJ,@SenatorMenendez,4
Ben,Cardin,D,MD,@SenatorCardin,0
Bernie,Sanders,I,VT,@SenSanders,5
Sherrod,Brown,D,OH,@SenSherrodBrown,7
Bob,Casey,D,PA,@SenBobCasey,7
Bob,Corker,R,TN,@SenBobCorker,6
Claire,McCaskill,D,MO,@clairecmc,1
Amy,Klobuchar,D,MN,@amyklobuchar,2
Sheldon,Whitehouse,D,RI,@SenWhitehouse,4
Jon,Tester,D,MT,@SenatorTester,0
John,Barrasso,R,WY,@SenJohnBarrasso,3
Roger,Wicker,R,MS,@SenatorWicker,7
Tom,Udall,D,NM,@SenatorTomUdall,2
Jeanne,Shaheen,D,NH,@SenatorShaheen,2
Mark,Warner,D,VA,@MarkWarner,4
Jim,Risch,D,ID,@SenatorRisch,2
Jeff,Merkley,D,OR,@SenJeffMerkley,0
Michael,Bennet,D,CO,@SenBennetCO,7
Kristen,Gillibrand,D,NY,@SenGillibrand,2
Al,Franken,D,MN,@alfranken,1
Joe,Manchin,D,WV,@Sen_JoeManchin,2
Chris,Coons,D,DE,@ChrisCoons,4
Mark,Kirk,R,IL,@SenatorKirk,7
Dan,Coats,R,IN,@SenDanCoats,6
Roy,Blunt,R,MO,@RoyBlunt,2
Jerry,Moran,R,KS,@JerryMoran,7
Rob,Portman,R,OH,@robportman,3
John,Boozman,R,AR,@JohnBoozman,2
Pat,Toomey,R,PA,@SenToomey,7
John,Hoeven,R,ND,@SenJohnHoeven,4
Marco,Rubio,R,FL,@marcorubio,1
Ron,Johnson,R,WI,@SenRonJohnson,6
Rand,Paul,R,KY,@RandPaul,1
Richard,Blumenthal,D,CT,@SenBlumenthal,2
Mike,Lee,R,UT,@SenMikeLee,3
Kelly,Ayotte,R,NH,@KellyAyotte,2
Dean,Heller,R,NV,@SenDeanHeller,2
Brian,Schatz,D,HI,@brianschatz,0
Tim,Scott,R,SC,@SenatorTimScott,2
Tammy,Baldwin,D,WI,@SenatorBaldwin,2
Jeff,Flake,R,AZ,@JeffFlake,3
Joe,Donnelly,D,IN,@SenDonnelly,7
Chris,Murphy,D,CT,@ChrisMurphyCT,0
Mazie,Hirono,D,HI,@maziehirono,2
Martin,Heinrich,D,NM,@MartinHeinrich,0
Angus,King,I,ME,@SenAngusKing,4
Tim,Kaine,D,VA,@timkaine,0
Ted,Cruz,R,TX,@tedcruz,1
Elizabeth,Warren,D,MA,@SenWarren,0
Deb,Fischer,R,NE,@SenatorFischer,2
Heidi,Heitkamp,D,ND,@SenatorHeitkamp,4
Ed,Markey,D,MA,@SenMarkey,0
Cory,Booker,D,NJ,@CoryBooker,4
Shelley,Moore Capito,R,WV,@SenCapito,2
Gary,Peters,D,MI,@SenGaryPeters,2
Bill,Cassidy,R,LA,@BillCassidy,7
Cory,Gardner,R,CO,@CoryGardner,1
James,Lankford,R,OK,@SenatorLankford,7
Tom,Cotton,R,AR,@SenTomCotton,7
Steve,Daines,R,MT,@SteveDaines,0
Mike,Rounds,R,SD,@SenatorRounds,2
David,Perdue,R,GA,@sendavidperdue,2
Thom,Tillis,R,NC,@ThomTillis,1
Joni,Ernst,R,IA,@SenJoniErnst,2
Ben,Sasse,R,NE,@BenSasse,9
Dan,Sullivan,R,AK,@SenDanSullivan,6
Bernie,Sanders,D,VT,@BernieSanders,5
Gary,Johnson,I,NM,@GovGaryJohnson,3
Donald,Trump,R,NY,@realDonaldTrump,8
Hillary,Clinton,D,NY,@HillaryClinton,8
Jill,Stein,I,MD,@DrJillStein,5
Barack,Obama,D,IL,@BarackObama,7
Evan,McMullin,I,UT,@Evan_McMullin,5
