Patrick,Leahy,D,VT,@SenatorLeahy,0
Orrin,Hatch,R,UT,@OrrinHatch,1
Thad,Cochran,R,MS,@SenThadCochran,0
Chuck,Grassley,R,IA,@ChuckGrassley,1
Mitch,McConnell,R,KY,@McConnellPress,0
Barabara,Mikulski,D,MD,@SenatorBarb,2
Richard,Shelby,R,AL,@SenShelby,0
John,McCain,R,AZ,@SenJohnMcCain,0
Harry,Reid,D,NV,@SenatorReid,1
Dianne,Feinstein,D,CA,@SenFeinstein,0
Barbara,Boxer,D,CA,@SenatorBoxer,0
Patty,Murray,D,WA,@PattyMurray,0
Jim,Inhofe,R,OK,@jiminhofe,0
Ron,Wyden,D,OR,@RonWyden,0
Pat,Roberts,R,KS,@SenPatRoberts,0
Dick,Durbin,D,IL,@SenatorDurbin,0
Jack,Reed,D,RI,@SenJackReed,2
Jeff,Sessions,R,AL,@SenatorSessions,1
Susan,Collins,R,ME,@SenatorCollins,0
Mike,Enzi,R,WY,@SenatorEnzi,1
Chuck,Schumer,D,NY,@SenSchumer,0
Mike,Crapo,R,ID,@MikeCrapo,0
Bill,Nelson,D,FL,@SenBillNelson,0
Tom,Carper,D,DE,@SenatorCarper,2
Debbie,Stabenow,D,MI,@stabenow,0
Maria,Cantwell,D,WA,@SenatorCantwell,0
John,Cornyn,R,TX,@JohnCornyn,1
Lisa,Murkowski,R,AK,@lisamurkowski,0
Lindsey,Graham,R,SC,@LindseyGrahamSC,0
Lamar,Alexander,R,TN,@SenAlexander,1
Richard,Burr,R,NC,@SenatorBurr,0
John,Thune,R,SD,@SenJohnThune,0
Johnny,Isakson,R,GA,@SenatorIsakson,2
David,Vitter,R,LA,@DavidVitter,0
Bob,Menendez,D,NJ,@SenatorMenendez,2
Ben,Cardin,D,MD,@SenatorCardin,2
Bernie,Sanders,I,VT,@SenSanders,1
Sherrod,Brown,D,OH,@SenSherrodBrown,0
Bob,Casey,D,PA,@SenBobCasey,0
Bob,Corker,R,TN,@SenBobCorker,0
Claire,McCaskill,D,MO,@clairecmc,0
Amy,Klobuchar,D,MN,@amyklobuchar,2
Sheldon,Whitehouse,D,RI,@SenWhitehouse,2
Jon,Tester,D,MT,@SenatorTester,0
John,Barrasso,R,WY,@SenJohnBarrasso,1
Roger,Wicker,R,MS,@SenatorWicker,0
Tom,Udall,D,NM,@SenatorTomUdall,2
Jeanne,Shaheen,D,NH,@SenatorShaheen,2
Mark,Warner,D,VA,@MarkWarner,2
Jim,Risch,D,ID,@SenatorRisch,2
Jeff,Merkley,D,OR,@SenJeffMerkley,0
Michael,Bennet,D,CO,@SenBennetCO,2
Kristen,Gillibrand,D,NY,@SenGillibrand,2
Al,Franken,D,MN,@alfranken,0
Joe,Manchin,D,WV,@Sen_JoeManchin,2
Chris,Coons,D,DE,@ChrisCoons,2
Mark,Kirk,R,IL,@SenatorKirk,0
Dan,Coats,R,IN,@SenDanCoats,0
Roy,Blunt,R,MO,@RoyBlunt,2
Jerry,Moran,R,KS,@JerryMoran,0
Rob,Portman,R,OH,@robportman,1
John,Boozman,R,AR,@JohnBoozman,2
Pat,Toomey,R,PA,@SenToomey,0
John,Hoeven,R,ND,@SenJohnHoeven,2
Marco,Rubio,R,FL,@marcorubio,2
Ron,Johnson,R,WI,@SenRonJohnson,0
Rand,Paul,R,KY,@RandPaul,0
Richard,Blumenthal,D,CT,@SenBlumenthal,2
Mike,Lee,R,UT,@SenMikeLee,1
Kelly,Ayotte,R,NH,@KellyAyotte,2
Dean,Heller,R,NV,@SenDeanHeller,2
Brian,Schatz,D,HI,@brianschatz,0
Tim,Scott,R,SC,@SenatorTimScott,2
Tammy,Baldwin,D,WI,@SenatorBaldwin,2
Jeff,Flake,R,AZ,@JeffFlake,0
Joe,Donnelly,D,IN,@SenDonnelly,0
Chris,Murphy,D,CT,@ChrisMurphyCT,0
Mazie,Hirono,D,HI,@maziehirono,2
Martin,Heinrich,D,NM,@MartinHeinrich,2
Angus,King,I,ME,@SenAngusKing,2
Tim,Kaine,D,VA,@timkaine,2
Ted,Cruz,R,TX,@tedcruz,0
Elizabeth,Warren,D,MA,@SenWarren,0
Deb,Fischer,R,NE,@SenatorFischer,2
Heidi,Heitkamp,D,ND,@SenatorHeitkamp,2
Ed,Markey,D,MA,@SenMarkey,0
Cory,Booker,D,NJ,@CoryBooker,2
Shelley,Moore Capito,R,WV,@SenCapito,2
Gary,Peters,D,MI,@SenGaryPeters,2
Bill,Cassidy,R,LA,@BillCassidy,0
Cory,Gardner,R,CO,@CoryGardner,0
James,Lankford,R,OK,@SenatorLankford,0
Tom,Cotton,R,AR,@SenTomCotton,0
Steve,Daines,R,MT,@SteveDaines,0
Mike,Rounds,R,SD,@SenatorRounds,2
David,Perdue,R,GA,@sendavidperdue,2
Thom,Tillis,R,NC,@ThomTillis,0
Joni,Ernst,R,IA,@SenJoniErnst,2
Ben,Sasse,R,NE,@BenSasse,1
Dan,Sullivan,R,AK,@SenDanSullivan,0
Bernie,Sanders,D,VT,@BernieSanders,1
Gary,Johnson,I,NM,@GovGaryJohnson,1
Donald,Trump,R,NY,@realDonaldTrump,1
Hillary,Clinton,D,NY,@HillaryClinton,1
Jill,Stein,I,MD,@DrJillStein,1
Barack,Obama,D,IL,@BarackObama,0
Evan,McMullin,I,UT,@Evan_McMullin,1
