@jiminhofe,Jim,Inhofe,0.85,0.95,0.66,0.2,0.32,0.98,0.72,0.97,0.98,0.96,0.77,0.71,0.97,0.98,0.65,0.95,0.98,0.23,0.25,0.66,0.23,0.52,0.87,0.52,0.3,0.75,0.99,0.73,0.92,0.14,0.09,0.1,0.0,0.09,0.04,0.24,0.21,0.63,0.14,0.28,0.15,0.11,0.13,0.23,0.18,0.72,0.86,0.21,0.31,0.05,0.04,0.16
@RonWyden,Ron,Wyden,0.6,0.95,0.47,0.22,0.12,0.95,0.77,0.92,0.99,0.98,0.73,0.76,0.98,0.98,0.83,0.96,0.99,0.29,0.16,0.76,0.34,0.67,0.82,0.64,0.4,0.87,0.98,0.7,0.95,0.06,0.04,0.06,0.0,0.04,0.03,0.49,0.28,0.62,0.16,0.26,0.18,0.24,0.32,0.29,0.22,0.79,0.8,0.19,0.2,0.07,0.07,0.31
@SenPatRoberts,Pat,Roberts,0.74,0.92,0.54,0.22,0.23,0.9,0.65,0.95,0.99,0.96,0.72,0.74,0.98,0.98,0.76,0.94,0.98,0.29,0.26,0.69,0.33,0.77,0.87,0.54,0.4,0.77,0.99,0.8,0.89,0.14,0.13,0.1,0.0,0.06,0.06,0.32,0.34,0.39,0.12,0.35,0.13,0.09,0.27,0.19,0.29,0.85,0.85,0.33,0.14,0.06,0.07,0.17
@SenatorDurbin,Dick,Durbin,0.77,0.98,0.74,0.39,0.41,0.98,0.93,0.9,0.98,0.97,0.59,0.65,0.96,0.96,0.62,0.95,0.98,0.12,0.28,0.65,0.22,0.65,0.86,0.59,0.42,0.82,0.99,0.71,0.85,0.14,0.12,0.14,0.0,0.11,0.08,0.23,0.29,0.64,0.11,0.25,0.1,0.12,0.37,0.12,0.23,0.75,0.74,0.11,0.25,0.05,0.03,0.29
@SenJackReed,Jack,Reed,0.34,0.98,0.58,0.34,0.2,0.83,0.74,0.88,0.99,0.97,0.63,0.67,0.97,0.98,0.72,0.99,0.99,0.57,0.4,0.8,0.5,0.85,0.92,0.68,0.48,0.83,0.99,0.92,0.82,0.04,0.06,0.07,0.0,0.02,0.07,0.55,0.72,0.62,0.3,0.72,0.28,0.41,0.71,0.29,0.41,0.95,0.85,0.39,0.29,0.09,0.07,0.51
@SenatorSessions,Jeff,Sessions,0.76,0.95,0.49,0.07,0.21,0.93,0.92,0.92,0.93,0.92,0.75,0.67,0.95,0.87,0.86,0.77,0.95,0.13,0.27,0.56,0.44,0.64,0.69,0.44,0.6,0.56,0.98,0.65,0.91,0.15,0.29,0.23,0.04,0.11,0.1,0.15,0.16,0.01,0.12,0.02,0.03,0.0,0.16,0.15,0.21,0.48,0.56,0.05,0.14,0.1,0.13,0.02
@SenatorCollins,Susan,Collins,0.79,0.87,0.66,0.46,0.26,0.86,0.79,0.91,0.99,0.97,0.78,0.59,0.96,0.97,0.89,0.92,0.97,0.22,0.22,0.5,0.24,0.94,0.84,0.55,0.53,0.82,0.99,0.69,0.88,0.23,0.31,0.18,0.0,0.1,0.14,0.1,0.54,0.15,0.07,0.28,0.03,0.02,0.45,0.06,0.3,0.79,0.53,0.26,0.1,0.05,0.03,0.13
@SenatorEnzi,Mike,Enzi,0.69,0.98,0.44,0.05,0.1,0.98,0.84,0.96,0.98,0.98,0.81,0.68,0.99,0.98,0.75,0.93,0.99,0.28,0.18,0.76,0.45,0.58,0.77,0.57,0.27,0.83,0.99,0.66,0.97,0.02,0.02,0.04,0.0,0.01,0.01,0.16,0.12,0.36,0.09,0.05,0.03,0.06,0.13,0.15,0.05,0.55,0.75,0.07,0.18,0.02,0.0,0.08
@SenSchumer,Chuck,Schumer,0.7,0.92,0.64,0.36,0.26,0.93,0.6,0.93,0.96,0.96,0.68,0.79,0.96,0.96,0.75,0.9,0.97,0.24,0.26,0.75,0.34,0.64,0.89,0.61,0.51,0.84,0.99,0.67,0.91,0.09,0.07,0.1,0.0,0.06,0.04,0.23,0.27,0.39,0.15,0.25,0.12,0.14,0.2,0.18,0.21,0.72,0.71,0.23,0.24,0.09,0.04,0.21
@MikeCrapo,Mike,Crapo,0.8,0.92,0.55,0.14,0.19,0.91,0.82,0.94,0.99,0.92,0.79,0.54,0.93,0.96,0.75,0.96,0.98,0.35,0.25,0.73,0.45,0.67,0.87,0.64,0.39,0.74,0.98,0.91,0.9,0.12,0.15,0.12,0.02,0.04,0.09,0.31,0.35,0.31,0.13,0.16,0.08,0.07,0.2,0.1,0.15,0.68,0.82,0.24,0.28,0.03,0.12,0.18
@SenBillNelson,Bill,Nelson,0.79,0.93,0.48,0.23,0.25,0.96,0.63,0.96,0.94,0.94,0.83,0.78,0.96,0.93,0.74,0.79,0.96,0.29,0.2,0.62,0.26,0.59,0.83,0.54,0.57,0.8,0.98,0.59,0.94,0.16,0.07,0.13,0.02,0.08,0.04,0.24,0.13,0.26,0.15,0.1,0.14,0.07,0.09,0.2,0.13,0.65,0.82,0.24,0.23,0.05,0.06,0.1
@SenatorCarper,Tom,Carper,0.56,0.96,0.53,0.29,0.18,0.9,0.68,0.94,0.99,0.96,0.81,0.66,0.97,0.98,0.67,0.98,0.99,0.52,0.28,0.85,0.47,0.72,0.93,0.69,0.46,0.87,0.99,0.88,0.91,0.05,0.04,0.06,0.0,0.03,0.04,0.43,0.4,0.54,0.2,0.4,0.18,0.23,0.33,0.2,0.19,0.79,0.87,0.37,0.27,0.04,0.05,0.3
@stabenow,Debbie,Stabenow,0.64,0.95,0.52,0.2,0.06,0.86,0.59,0.95,0.99,0.96,0.91,0.69,0.98,0.98,0.85,0.97,0.99,0.73,0.2,0.94,0.76,0.7,0.95,0.75,0.49,0.92,0.99,0.89,0.96,0.01,0.01,0.01,0.03,0.0,0.01,0.39,0.23,0.26,0.1,0.1,0.07,0.11,0.11,0.07,0.09,0.65,0.79,0.44,0.18,0.03,0.01,0.16
@SenatorCantwell,Maria,Cantwell,0.61,0.99,0.57,0.13,0.25,0.95,0.77,0.86,0.99,0.98,0.66,0.78,0.99,0.99,0.78,0.98,0.99,0.43,0.43,0.76,0.42,0.56,0.83,0.58,0.24,0.74,0.98,0.85,0.89,0.03,0.03,0.04,0.0,0.02,0.02,0.29,0.3,0.48,0.2,0.29,0.11,0.2,0.43,0.37,0.26,0.81,0.74,0.15,0.31,0.05,0.07,0.15
@JohnCornyn,John,Cornyn,0.84,0.95,0.6,0.25,0.24,0.96,0.5,0.98,0.97,0.97,0.93,0.86,0.99,0.98,0.93,0.8,0.97,0.17,0.19,0.7,0.35,0.85,0.87,0.51,0.52,0.84,0.99,0.5,0.97,0.15,0.12,0.06,0.0,0.05,0.02,0.07,0.11,0.13,0.04,0.08,0.06,0.01,0.11,0.11,0.1,0.59,0.51,0.15,0.04,0.05,0.0,0.03
