Rand,Paul,R,KY,@RandPaul,216881337,Senate,RandPaul.csv
Richard,Blumenthal,D,CT,@SenBlumenthal,278124059,Senate,SenBlumenthal.csv
Mike,Lee,R,UT,@SenMikeLee,88784440,Senate,SenMikeLee.csv
Kelly,Ayotte,R,NH,@KellyAyotte,229592356,Senate,KellyAyotte.csv
Dean,Heller,R,NV,@SenDeanHeller,266133081,Senate,SenDeanHeller.csv
Brian,Schatz,D,HI,@brianschatz,47747074,Senate,brianschatz.csv
Tim,Scott,R,SC,@SenatorTimScott,217543151,Senate,SenatorTimScott.csv
Tammy,Baldwin,D,WI,@SenatorBaldwin,1074518754,Senate,SenatorBaldwin.csv
Jeff,Flake,R,AZ,@JeffFlake,16056306,Senate,JeffFlake.csv
Joe,Donnelly,D,IN,@SenDonnelly,216503958,Senate,SenDonnelly.csv
Chris,Murphy,D,CT,@ChrisMurphyCT,150078976,Senate,ChrisMurphyCT.csv
Mazie,Hirono,D,HI,@maziehirono,92186819,Senate,maziehirono.csv
Martin,Heinrich,D,NM,@MartinHeinrich,1099199839,Senate,MartinHeinrich.csv
Angus,King,I,ME,@SenAngusKing,1068481578,Senate,SenAngusKing.csv
Tim,Kaine,D,VA,@timkaine,172858784,Senate,timkaine.csv
Ted,Cruz,R,TX,@tedcruz,23022687,Senate,tedcruz.csv
Elizabeth,Warren,D,MA,@SenWarren,970207298,Senate,SenWarren.csv
Deb,Fischer,R,NE,@SenatorFischer,1071402577,Senate,SenatorFischer.csv
Heidi,Heitkamp,D,ND,@SenatorHeitkamp,1061029050,Senate,SenatorHeitkamp.csv
Ed,Markey,D,MA,@SenMarkey,21406834,Senate,SenMarkey.csv
Cory,Booker,D,NJ,@CoryBooker,15808765,Senate,CoryBooker.csv
Shelley,Moore Capito,R,WV,@SenCapito,193794406,Senate,SenCapito.csv
Gary,Peters,D,MI,@SenGaryPeters,236511574,Senate,SenGaryPeters.csv
Bill,Cassidy,R,LA,@BillCassidy,55677432,Senate,BillCassidy.csv
Cory,Gardner,R,CO,@CoryGardner,20879626,Senate,CoryGardner.csv
James,Lankford,R,OK,@SenatorLankford,225921757,Senate,SenatorLankford.csv
Tom,Cotton,R,AR,@SenTomCotton,968650362,Senate,SenTomCotton.csv
Steve,Daines,R,MT,@SteveDaines,11651202,Senate,SteveDaines.csv
Mike,Rounds,R,SD,@SenatorRounds,2955485182,Senate,SenatorRounds.csv
David,Perdue,R,GA,@sendavidperdue,2863210809,Senate,sendavidperdue.csv
Thom,Tillis,R,NC,@ThomTillis,22195441,Senate,ThomTillis.csv
Joni,Ernst,R,IA,@SenJoniErnst,2856787757,Senate,SenJoniErnst.csv
Ben,Sasse,R,NE,@BenSasse,1480852568,Senate,BenSasse.csv
Dan,Sullivan,R,AK,@SenDanSullivan,2891210047,Senate,SenDanSullivan.csv
Bernie,Sanders,D,VT,@BernieSanders,216776631,President Candidate,BernieSanders.csv
Gary,Johnson,I,NM,@GovGaryJohnson,95713333,President Candidate,johnson.csv
Donald,Trump,R,NY,@realDonaldTrump,25073877,President Candidate,trump.csv
Hillary,Clinton,D,NY,@HillaryClinton,1339835893,President Candidate,clinton.csv
Jill,Stein,I,MD,@DrJillStein,111216929,President Candidate,stein.csv
Barack,Obama,D,IL,@BarackObama,813286,President,BarackObama.csv
Evan,McMullin,I,UT,@Evan_McMullin,1051396218,President Candidate,evan_mcmullin.csv
