Ben,Sasse,R,NE,BenSasse,0
Bernie,Sanders,D,VT,BernieSanders,0
Brian,Schatz,D,HI,brianschatz,0
Hillary,Clinton,D,NY,HillaryClinton,0
Cory,Booker,D,NJ,CoryBooker,0
David,Vitter,R,LA,DavidVitter,0
Evan,McMullin,I,UT,Evan_McMullin,0
Jim,Inhofe,R,OK,jiminhofe,0
John,Cornyn,R,TX,JohnCornyn,0
Lindsey,Graham,R,SC,LindseyGrahamSC,0
Marco,Rubio,R,FL,marcorubio,0
Mark,Warner,D,VA,MarkWarner,0
Mazie,Hirono,D,HI,maziehirono,0
Rand,Paul,R,KY,RandPaul,0
Ben,Cardin,D,MD,SenatorCardin,0
Patrick,Leahy,D,VT,SenatorLeahy,0
Tim,Scott,R,SC,SenatorTimScott,0
Bob,Casey,D,PA,SenBobCasey,0
Dan,Coats,R,IN,SenDanCoats,0
Dean,Heller,R,NV,SenDeanHeller,0
Ed,Markey,D,MA,SenMarkey,0
Pat,Roberts,R,KS,SenPatRoberts,0
Chuck,Schumer,D,NY,SenSchumer,0
Jill,Stein,I,MD,DrJillStein,0
Ted,Cruz,R,TX,tedcruz,0
Al,Franken,D,MN,alfranken,1
Bill,Cassidy,R,LA,BillCassidy,1
Chuck,Grassley,R,IA,ChuckGrassley,1
Cory,Gardner,R,CO,CoryGardner,1
Gary,Johnson,I,NM,GovGaryJohnson,1
Lisa,Murkowski,R,AK,lisamurkowski,1
Mitch,McConnell,R,KY,McConnellPress,1
Mike,Crapo,R,ID,MikeCrapo,1
Rob,Portman,R,OH,robportman,1
Lamar,Alexander,R,TN,SenAlexander,1
Maria,Cantwell,D,WA,SenatorCantwell,1
Heidi,Heitkamp,D,ND,SenatorHeitkamp,1
Jeff,Sessions,R,AL,SenatorSessions,1
Jon,Tester,D,MT,SenatorTester,1
Bob,Corker,R,TN,SenBobCorker,1
Dan,Sullivan,R,AK,SenDanSullivan,1
Joe,Donnelly,D,IN,SenDonnelly,1
John,Hoeven,R,ND,SenJohnHoeven,1
Joni,Ernst,R,IA,SenJoniErnst,1
Richard,Shelby,R,AL,SenShelby,1
Sherrod,Brown,D,OH,SenSherrodBrown,1
Thom,Tillis,R,NC,ThomTillis,1
Donald,Trump,R,NY,realDonaldTrump,1
Barack,Obama,D,IL,BarackObama,2
Jeff,Flake,R,AZ,JeffFlake,2
Jerry,Moran,R,KS,JerryMoran,2
John,Boozman,R,AR,JohnBoozman,2
Mike,Enzi,R,WY,SenatorEnzi,2
Deb,Fischer,R,NE,SenatorFischer,2
Johnny,Isakson,R,GA,SenatorIsakson,2
James,Lankford,R,OK,SenatorLankford,2
Jim,Risch,D,ID,SenatorRisch,2
Mike,Rounds,R,SD,SenatorRounds,2
Roger,Wicker,R,MS,SenatorWicker,2
Bill,Nelson,D,FL,SenBillNelson,2
David,Perdue,R,GA,sendavidperdue,2
John,Barrasso,R,WY,SenJohnBarrasso,2
John,McCain,R,AZ,SenJohnMcCain,2
John,Thune,R,SD,SenJohnThune,2
Ron,Johnson,R,WI,SenRonJohnson,2
Tom,Cotton,R,AR,SenTomCotton,2
Pat,Toomey,R,PA,SenToomey,2
Steve,Daines,R,MT,SteveDaines,2
Thad,Cochran,R,MS,SenThadCochran,2
Orrin,Hatch,R,UT,OrrinHatch,3
Mike,Lee,R,UT,SenMikeLee,3
Angus,King,I,ME,SenAngusKing,4
Susan,Collins,R,ME,SenatorCollins,4
Jack,Reed,D,RI,SenJackReed,5
Sheldon,Whitehouse,D,RI,SenWhitehouse,5
Amy,Klobuchar,D,MN,amyklobuchar,6
Chris,Coons,D,DE,ChrisCoons,6
Chris,Murphy,D,CT,ChrisMurphyCT,6
Claire,McCaskill,D,MO,clairecmc,6
Kelly,Ayotte,R,NH,KellyAyotte,6
Martin,Heinrich,D,NM,MartinHeinrich,6
Patty,Murray,D,WA,PattyMurray,6
Ron,Wyden,D,OR,RonWyden,6
Roy,Blunt,R,MO,RoyBlunt,6
Tammy,Baldwin,D,WI,SenatorBaldwin,6
Barabara,Mikulski,D,MD,SenatorBarb,6
Barbara,Boxer,D,CA,SenatorBoxer,6
Richard,Burr,R,NC,SenatorBurr,6
Tom,Carper,D,DE,SenatorCarper,6
Dick,Durbin,D,IL,SenatorDurbin,6
Mark,Kirk,R,IL,SenatorKirk,6
Bob,Menendez,D,NJ,SenatorMenendez,6
Harry,Reid,D,NV,SenatorReid,6
Jeanne,Shaheen,D,NH,SenatorShaheen,6
Tom,Udall,D,NM,SenatorTomUdall,6
Michael,Bennet,D,CO,SenBennetCO,6
Richard,Blumenthal,D,CT,SenBlumenthal,6
Dianne,Feinstein,D,CA,SenFeinstein,6
Gary,Peters,D,MI,SenGaryPeters,6
Kristen,Gillibrand,D,NY,SenGillibrand,6
Jeff,Merkley,D,OR,SenJeffMerkley,6
Bernie,Sanders,I,VT,SenSanders,6
Elizabeth,Warren,D,MA,SenWarren,6
Debbie,Stabenow,D,MI,stabenow,6
Tim,Kaine,D,VA,timkaine,6
Shelley,Moore Capito,R,WV,SenCapito,7
Joe,Manchin,D,WV,Sen_JoeManchin,7
